"","SYMBOL","ENTREZID"
"252","HBEGF","1839"
"253","ARHGAP12","94134"
"255","LIPC","3990"
"257","MADD","8567"
"258","NDUFAF6","137682"
"259","GMNC","647309"
"260","APOC4-APOC2","100533990"
"261","ZC3H12A","80149"
"262","CLASRP","11129"
"263","DLG2","1740"
"264","CYB561","1534"
"265","B4GALT3","8703"
"266","FCER1G","2207"
"267","EED","8726"
"268","PRIM2","5558"
"269","HSPA4","3308"
"270","MS4A6E","245802"
"271","PRKRA","8575"
"272","GRIA1","2890"
"273","HIKESHI","51501"
"274","PJVK","494513"
"275","HRH3","11255"
"276","MAPK14","1432"
"277","SV2A","9900"
"278","YDJC","150223"
"279","UBE2L3","7332"
"280","GSK3B","2932"
"281","PGR","5241"
"282","TRIM35","23087"
"283","CHRNA6","8973"
"284","SERPINA1","5265"
"285","ABL1","25"
"286","RXRA","6256"
"287","CHRNA5","1138"
"288","CACNA1B","774"
"289","TNF","7124"
"290","TENT5A","55603"
"291","SPON1","10418"
"292","GRIA2","2891"
"293","GABRA2","2555"
"294","LY86","9450"
"295","GABRG1","2565"
"296","RXRB","6257"
"297","RXRG","6258"
"298","ANKMY2","57037"
"299","S100A11","6282"
"300","GNRHR","2798"
"301","GABRA1","2554"
"302","GRIA3","2892"
"303","GRIK3","2899"
"304","CYSLTR1","10800"
"305","CYP27C1","339761"
"306","GABRG2","2566"
"307","MAPT","4137"
"308","HLA-DQA1","3117"
"309","GRIA4","2893"
"310","MAOB","4129"
"311","CTSC","1075"
"312","SCIMP","388325"
"313","SH3RF2","153769"
"314","KAT8","84148"
"315","MRPL58","3396"
"316","GABRA5","2558"
"317","GABRA3","2556"
"318","HGF","3082"
"319","GABRG3","2567"
"320","TAS2R41","259287"
"321","RYR3","6263"
"322","SRC","6714"
"323","INSR","3643"
"324","SLC35C1","55343"
"325","CNR1","1268"
"326","TBX2","6909"
"327","USP35","57558"
"328","RARA","5914"
"329","PLA2G7","7941"
"330","GABRB3","2562"
"331","RARB","5915"
"332","RARG","5916"
"333","SNAP25","6616"
"334","TAS2R60","338398"
"335","BCKDK","10295"
"336","MAF","4094"
"337","KIF5B","3799"
"338","HDAC6","10013"
"339","GSK3A","2931"
"340","HTR3A","3359"
"341","RRAS2","22800"
"342","NRGN","4900"
"343","GLP1R","2740"
"344","MINDY2","54629"
"345","KCTD2","23510"
"346","RELB","5971"
"347","CSF2RA","1438"
"348","IMPA1","3612"
"349","CRBN","51185"
"350","RBX1","9978"
"351","IFNAR1","3454"
"352","PROSER2","254427"
"353","NPTX2","4885"
"354","PRSS53","339105"
"355","CYFIP2","26999"
"356","IFNAR2","3455"
"357","NCAM1","4684"
"358","MS4A4E","643680"
"359","HTR3D","200909"
"360","HTR3E","285242"
"361","HTR3C","170572"
"362","PAH","5053"
"363","DDB1","1642"
"364","HTR3B","9177"
"365","CUL4A","8451"
"366","APMAP","57136"
"367","MAPK8IP1","9479"
"368","MS4A2","2206"
"369","PTPRJ","5795"
"370","SLC39A13","91252"
"371","MAPK1","5594"
"372","GPR6","2830"
"373","TH","7054"
"374","SMIM8","57150"
"376","KRBOX1","100506243"
"377","RASGRF1","5923"
"378","PRRT1","80863"
"379","KCNH3","23416"
"380","NR1H3","10062"
"381","ZNF646","9726"
"383","KLC1","3831"
"384","NARS1","4677"
"385","NYAP1","222950"
"386","CFAP206","154313"
"387","HLA-DRB5","3127"
"388","PPOX","5498"
"389","ADAMTS5","11096"
"390","ANO3","63982"
"391","DNALI1","7802"
"392","RSPO1","284654"
"393","ARHGAP45","23526"
"394","HAND1","9421"
"395","SYT1","6857"
"396","NDUFS2","4720"
"397","DEDD","9191"
"398","ZCWPW1","55063"
"399","APOC2","344"
"400","EPHX2","2053"
"401","CCR5","1234"
"402","VKORC1","79001"
"403","ATP8B1","5205"
"404","LMTK2","22853"
"405","GRXCR2","643226"
"406","WWOX","51741"
"407","POU4F3","5459"
"408","SERPINE1","5054"
"409","KCTD21","283219"
"410","C6orf163","206412"
"411","KNOP1","400506"
"412","TXN","7295"
"413","AURKA","6790"
"415","ADORA2A","135"
"416","LTF","4057"
"417","ENO2","2026"
"418","PLAC8L1","153770"
"419","TMEM259","91304"
"420","SVIL","6840"
"421","BDNF","627"
"422","MEAF6","64769"
"423","SPI1","6688"
"424","ADORA3","140"
"425","ADORA2B","136"
"426","ADORA1","134"
"427","ATP4A","495"
"428","CHI3L1","1116"
"429","VSNL1","7447"
"430","GFAP","2670"
"431","LILRA4","23547"
"432","RFX3","5991"
"433","CCR2","729230"
"434","ZNF532","55205"
"435","PPARD","5467"
"436","CHRM1","1128"
"437","GRN","2896"
"438","HDAC2","3066"
"439","HTR4","3360"
"440","FYN","2534"
"441","MS4A3","932"
"442","HDAC1","3065"
"443","GABRA4","2557"
"444","CR2","1380"
"445","GABRB1","2560"
"446","MPZ","4359"
"447","SMIM24","284422"
"448","PRSS36","146547"
"449","HDAC3","8841"
"450","C11orf96","387763"
"451","PPARA","5465"
"452","FAM210B","116151"
"453","GCNT4","51301"
"454","GABRD","2563"
"455","ALPK2","115701"
"456","SLC5A2","6524"
"457","ACCSL","390110"
"458","ACCS","84680"
"459","SCD","6319"
"460","SNIP1","79753"
"461","MAOA","4128"
"462","EPC1","80314"
"463","YES1","7525"
"464","NEU2","4759"
"465","GABRQ","55879"
"466","FBXL19","54620"
"467","EPHA2","1969"
"468","FRK","2444"
"469","BLK","640"
"470","VPS35L","57020"
"471","ALKBH3","221120"
"472","GABRB2","2561"
"473","LYN","4067"
"474","LCK","3932"
"475","GABRA6","2559"
"476","SRMS","6725"
"477","CSF3R","1441"
"478","GABRE","2564"
"479","GABRP","2568"
"480","FGR","2268"
